"l [mm]","li [mm]","Phi [deg]","Theta [deg]","Voltage [V]","w [mm]","wi [mm]","Freq [GHz]","dB(GainTotal) []"
28.5,10.5,0,180,0,30.5,1.5,2.32,-5.483557263727
28.5,10.5,0,180,0,30.5,1.5,2.34,-5.4491897438039
28.5,10.5,0,180,0,30.5,1.5,2.36,-5.42868005782359
28.5,10.5,0,180,0,30.5,1.5,2.38,-5.42420429110801
28.5,10.5,0,180,0,30.5,1.5,2.42,-5.47192846316574
28.5,10.5,0,180,0,30.5,1.5,2.44,-5.52787804365909
28.5,10.5,0,180,0,30.5,1.5,2.46,-5.60701851639614
28.5,10.5,0,180,0,30.5,1.5,2.48,-5.70997076689974
28.5,10.5,0,180,0,30.5,1.5,2.5,-5.83666019029048
28.5,10.5,0,180,0,30.5,1.5,2.52,-5.98624063080903
28.5,10.5,0,180,0,30.5,1.5,2.54,-6.15709748847699
28.5,10.5,0,180,0,30.5,1.5,2.56,-6.34696234364902
28.5,10.5,0,180,0,30.5,1.5,2.58,-6.55309433312905
28.5,10.5,0,180,0,30.5,1.5,2.62,-7.00208006080543
28.5,10.5,0,180,0,30.5,1.5,2.64,-7.23891509512171
28.5,10.5,0,180,0,30.5,1.5,2.66,-7.48029132345636
28.5,10.5,0,180,0,30.5,1.5,2.68,-7.72384321841785
28.5,10.5,0,180,0,30.5,1.5,2.72,-8.20992762241318
28.5,10.5,0,180,0,30.5,1.5,2.74,-8.4496416880533
28.5,10.5,0,180,0,30.5,1.5,2.76,-8.68583964799998
28.5,10.5,0,180,0,30.5,1.5,2.78,-8.91792199974394
28.5,10.5,0,180,0,30.5,1.5,2.82,-9.36851078827226
28.5,10.5,0,180,0,30.5,1.5,2.84,-9.58685611976906
28.5,10.5,0,180,0,30.5,1.5,2.86,-9.80068765855258
28.5,10.5,0,180,0,30.5,1.5,2.88,-10.0102176578593
28.5,10.5,0,180,0,30.5,1.5,2.92,-10.4175477880519
28.5,10.5,0,180,0,30.5,1.5,2.94,-10.6160477884621
28.5,10.5,0,180,0,30.5,1.5,2.96,-10.8116208732812
28.5,10.5,0,180,0,30.5,1.5,2.98,-11.0046790472991
27,10.5,90,180,0,28,1.5,2.5,-6.77425622106001
27,10.5,90,180,1,28,1.5,2.5,-6.77425622106001
27,10.5,90,180,2,28,1.5,2.5,-6.77425622106001
27,10.5,90,180,3,28,1.5,2.5,-6.77425622106001
27,10.5,90,180,4,28,1.5,2.5,-6.77425622106001
27,10.5,90,180,5,28,1.5,2.5,-6.77425622106001
27,10.5,90,180,0,28.5,1.5,2.5,-6.8235606999856
28.5,10.5,90,180,0,30.5,1.5,2.02,-6.7210327274839
28.5,10.5,90,180,0,30.5,1.5,2.04,-6.62254764393256
28.5,10.5,90,180,0,30.5,1.5,2.06,-6.52461773066809
28.5,10.5,90,180,0,30.5,1.5,2.08,-6.42749799671102
28.5,10.5,90,180,0,30.5,1.5,2.12,-6.23679227900253
28.5,10.5,90,180,0,30.5,1.5,2.14,-6.14383409200003
28.5,10.5,90,180,0,30.5,1.5,2.16,-6.05297126874193
28.5,10.5,90,180,0,30.5,1.5,2.18,-5.96466503242213
28.5,10.5,90,180,0,30.5,1.5,2.22,-5.79807211548402
28.5,10.5,90,180,0,30.5,1.5,2.24,-5.72129003737437
28.5,10.5,90,180,0,30.5,1.5,2.26,-5.6501297334038
28.5,10.5,90,180,0,30.5,1.5,2.28,-5.58579671964999
28.5,10.5,90,180,0,30.5,1.5,2.32,-5.483557263727
28.5,10.5,90,180,0,30.5,1.5,2.34,-5.4491897438039
28.5,10.5,90,180,0,30.5,1.5,2.36,-5.42868005782359
28.5,10.5,90,180,0,30.5,1.5,2.38,-5.42420429110801
28.5,10.5,90,180,0,30.5,1.5,2.42,-5.47192846316574
28.5,10.5,90,180,0,30.5,1.5,2.44,-5.52787804365909
28.5,10.5,90,180,0,30.5,1.5,2.46,-5.60701851639613
28.5,10.5,90,180,0,30.5,1.5,2.48,-5.70997076689974
28.5,10.5,90,180,0,30.5,1.5,2.5,-5.83666019029048
28.5,10.5,90,180,0,30.5,1.5,2.52,-5.98624063080903
28.5,10.5,90,180,0,30.5,1.5,2.54,-6.15709748847699
28.5,10.5,90,180,0,30.5,1.5,2.56,-6.34696234364902
28.5,10.5,90,180,0,30.5,1.5,2.58,-6.55309433312905
28.5,10.5,90,180,0,30.5,1.5,2.62,-7.00208006080543
28.5,10.5,90,180,0,30.5,1.5,2.64,-7.23891509512172
28.5,10.5,90,180,0,30.5,1.5,2.66,-7.48029132345636
28.5,10.5,90,180,0,30.5,1.5,2.68,-7.72384321841785
28.5,10.5,90,180,0,30.5,1.5,2.72,-8.20992762241318
28.5,10.5,90,180,0,30.5,1.5,2.74,-8.4496416880533
28.5,10.5,90,180,0,30.5,1.5,2.76,-8.68583964799998
28.5,10.5,90,180,0,30.5,1.5,2.78,-8.91792199974395
28.5,10.5,90,180,0,30.5,1.5,2.82,-9.36851078827227
28.5,10.5,90,180,0,30.5,1.5,2.84,-9.58685611976906
28.5,10.5,90,180,0,30.5,1.5,2.86,-9.80068765855258
28.5,10.5,90,180,0,30.5,1.5,2.88,-10.0102176578593
28.5,10.5,90,180,0,30.5,1.5,2.92,-10.4175477880519
28.5,10.5,90,180,0,30.5,1.5,2.94,-10.6160477884621
28.5,10.5,90,180,0,30.5,1.5,2.96,-10.8116208732812
28.5,10.5,90,180,0,30.5,1.5,2.98,-11.0046790472991
27,10.5,180,180,0,28,1.5,2.5,-6.77425622106001
27,10.5,180,180,1,28,1.5,2.5,-6.77425622106001
27,10.5,180,180,2,28,1.5,2.5,-6.77425622106001
27,10.5,180,180,3,28,1.5,2.5,-6.77425622106001
27,10.5,180,180,4,28,1.5,2.5,-6.77425622106001
27,10.5,180,180,5,28,1.5,2.5,-6.77425622106001
27,10.5,180,180,0,28.5,1.5,2.5,-6.8235606999856
28.5,10.5,180,180,0,30.5,1.5,2.02,-6.72103272748391
28.5,10.5,180,180,0,30.5,1.5,2.04,-6.62254764393256
28.5,10.5,180,180,0,30.5,1.5,2.06,-6.52461773066809
28.5,10.5,180,180,0,30.5,1.5,2.08,-6.42749799671102
28.5,10.5,180,180,0,30.5,1.5,2.12,-6.23679227900253
28.5,10.5,180,180,0,30.5,1.5,2.14,-6.14383409200003
28.5,10.5,180,180,0,30.5,1.5,2.16,-6.05297126874193
28.5,10.5,180,180,0,30.5,1.5,2.18,-5.96466503242213
28.5,10.5,180,180,0,30.5,1.5,2.22,-5.79807211548402
28.5,10.5,180,180,0,30.5,1.5,2.24,-5.72129003737438
28.5,10.5,180,180,0,30.5,1.5,2.26,-5.6501297334038
28.5,10.5,180,180,0,30.5,1.5,2.28,-5.58579671964999
28.5,10.5,180,180,0,30.5,1.5,2.32,-5.483557263727
28.5,10.5,180,180,0,30.5,1.5,2.34,-5.4491897438039
28.5,10.5,180,180,0,30.5,1.5,2.36,-5.42868005782359
28.5,10.5,180,180,0,30.5,1.5,2.38,-5.42420429110801
28.5,10.5,180,180,0,30.5,1.5,2.42,-5.47192846316574
28.5,10.5,180,180,0,30.5,1.5,2.44,-5.52787804365909
28.5,10.5,180,180,0,30.5,1.5,2.46,-5.60701851639613
28.5,10.5,180,180,0,30.5,1.5,2.48,-5.70997076689974
28.5,10.5,180,180,0,30.5,1.5,2.5,-5.83666019029048
28.5,10.5,180,180,0,30.5,1.5,2.52,-5.98624063080903
28.5,10.5,180,180,0,30.5,1.5,2.54,-6.15709748847699
28.5,10.5,180,180,0,30.5,1.5,2.56,-6.34696234364902
28.5,10.5,180,180,0,30.5,1.5,2.58,-6.55309433312905
28.5,10.5,180,180,0,30.5,1.5,2.62,-7.00208006080543
28.5,10.5,180,180,0,30.5,1.5,2.64,-7.23891509512172
28.5,10.5,180,180,0,30.5,1.5,2.66,-7.48029132345636
28.5,10.5,180,180,0,30.5,1.5,2.68,-7.72384321841785
28.5,10.5,180,180,0,30.5,1.5,2.72,-8.20992762241318
28.5,10.5,180,180,0,30.5,1.5,2.74,-8.4496416880533
28.5,10.5,180,180,0,30.5,1.5,2.76,-8.68583964799999
28.5,10.5,180,180,0,30.5,1.5,2.78,-8.91792199974394
28.5,10.5,180,180,0,30.5,1.5,2.82,-9.36851078827227
28.5,10.5,180,180,0,30.5,1.5,2.84,-9.58685611976906
28.5,10.5,180,180,0,30.5,1.5,2.86,-9.80068765855258
28.5,10.5,180,180,0,30.5,1.5,2.88,-10.0102176578593
28.5,10.5,180,180,0,30.5,1.5,2.92,-10.4175477880519
28.5,10.5,180,180,0,30.5,1.5,2.94,-10.6160477884621
28.5,10.5,180,180,0,30.5,1.5,2.96,-10.8116208732812
28.5,10.5,180,180,0,30.5,1.5,2.98,-11.0046790472991
27,10.5,270,180,0,28,1.5,2.5,-6.77425622106001
27,10.5,270,180,1,28,1.5,2.5,-6.77425622106001
27,10.5,270,180,2,28,1.5,2.5,-6.77425622106001
27,10.5,270,180,3,28,1.5,2.5,-6.77425622106001
27,10.5,270,180,4,28,1.5,2.5,-6.77425622106001
27,10.5,270,180,5,28,1.5,2.5,-6.77425622106001
27,10.5,270,180,0,28.5,1.5,2.5,-6.8235606999856
28.5,10.5,270,180,0,30.5,1.5,2.02,-6.72103272748391
28.5,10.5,270,180,0,30.5,1.5,2.04,-6.62254764393256
28.5,10.5,270,180,0,30.5,1.5,2.06,-6.52461773066809
28.5,10.5,270,180,0,30.5,1.5,2.08,-6.42749799671102
28.5,10.5,270,180,0,30.5,1.5,2.12,-6.23679227900253
28.5,10.5,270,180,0,30.5,1.5,2.14,-6.14383409200003
28.5,10.5,270,180,0,30.5,1.5,2.16,-6.05297126874193
28.5,10.5,270,180,0,30.5,1.5,2.18,-5.96466503242213
28.5,10.5,270,180,0,30.5,1.5,2.22,-5.79807211548402
28.5,10.5,270,180,0,30.5,1.5,2.24,-5.72129003737438
28.5,10.5,270,180,0,30.5,1.5,2.26,-5.6501297334038
28.5,10.5,270,180,0,30.5,1.5,2.28,-5.58579671964999
28.5,10.5,270,180,0,30.5,1.5,2.32,-5.483557263727
28.5,10.5,270,180,0,30.5,1.5,2.34,-5.4491897438039
28.5,10.5,270,180,0,30.5,1.5,2.36,-5.42868005782359
28.5,10.5,270,180,0,30.5,1.5,2.38,-5.42420429110801
28.5,10.5,270,180,0,30.5,1.5,2.42,-5.47192846316574
28.5,10.5,270,180,0,30.5,1.5,2.44,-5.52787804365909
28.5,10.5,270,180,0,30.5,1.5,2.46,-5.60701851639613
28.5,10.5,270,180,0,30.5,1.5,2.48,-5.70997076689974
28.5,10.5,270,180,0,30.5,1.5,2.5,-5.83666019029048
28.5,10.5,270,180,0,30.5,1.5,2.52,-5.98624063080903
28.5,10.5,270,180,0,30.5,1.5,2.54,-6.15709748847699
28.5,10.5,270,180,0,30.5,1.5,2.56,-6.34696234364902
28.5,10.5,270,180,0,30.5,1.5,2.58,-6.55309433312905
28.5,10.5,270,180,0,30.5,1.5,2.62,-7.00208006080543
28.5,10.5,270,180,0,30.5,1.5,2.64,-7.23891509512171
28.5,10.5,270,180,0,30.5,1.5,2.66,-7.48029132345636
28.5,10.5,270,180,0,30.5,1.5,2.68,-7.72384321841785
28.5,10.5,270,180,0,30.5,1.5,2.72,-8.20992762241318
28.5,10.5,270,180,0,30.5,1.5,2.74,-8.4496416880533
28.5,10.5,270,180,0,30.5,1.5,2.76,-8.68583964799999
28.5,10.5,270,180,0,30.5,1.5,2.78,-8.91792199974394
28.5,10.5,270,180,0,30.5,1.5,2.82,-9.36851078827227
28.5,10.5,270,180,0,30.5,1.5,2.84,-9.58685611976906
28.5,10.5,270,180,0,30.5,1.5,2.86,-9.80068765855258
28.5,10.5,270,180,0,30.5,1.5,2.88,-10.0102176578593
28.5,10.5,270,180,0,30.5,1.5,2.92,-10.4175477880519
28.5,10.5,270,180,0,30.5,1.5,2.94,-10.6160477884621
28.5,10.5,270,180,0,30.5,1.5,2.96,-10.8116208732812
28.5,10.5,270,180,0,30.5,1.5,2.98,-11.0046790472991
27,10.5,360,180,0,28,1.5,2.5,-6.77425622106001
27,10.5,360,180,1,28,1.5,2.5,-6.77425622106001
27,10.5,360,180,2,28,1.5,2.5,-6.77425622106001
27,10.5,360,180,3,28,1.5,2.5,-6.77425622106001
27,10.5,360,180,4,28,1.5,2.5,-6.77425622106001
27,10.5,360,180,5,28,1.5,2.5,-6.77425622106001
27,10.5,360,180,0,28.5,1.5,2.5,-6.8235606999856
28.5,10.5,360,180,0,30.5,1.5,2.02,-6.7210327274839
28.5,10.5,360,180,0,30.5,1.5,2.04,-6.62254764393256
28.5,10.5,360,180,0,30.5,1.5,2.06,-6.52461773066809
28.5,10.5,360,180,0,30.5,1.5,2.08,-6.42749799671102
28.5,10.5,360,180,0,30.5,1.5,2.12,-6.23679227900253
28.5,10.5,360,180,0,30.5,1.5,2.14,-6.14383409200003
28.5,10.5,360,180,0,30.5,1.5,2.16,-6.05297126874193
28.5,10.5,360,180,0,30.5,1.5,2.18,-5.96466503242213
28.5,10.5,360,180,0,30.5,1.5,2.22,-5.79807211548402
28.5,10.5,360,180,0,30.5,1.5,2.24,-5.72129003737437
28.5,10.5,360,180,0,30.5,1.5,2.26,-5.6501297334038
28.5,10.5,360,180,0,30.5,1.5,2.28,-5.58579671964999
28.5,10.5,360,180,0,30.5,1.5,2.32,-5.483557263727
28.5,10.5,360,180,0,30.5,1.5,2.34,-5.4491897438039
28.5,10.5,360,180,0,30.5,1.5,2.36,-5.42868005782359
28.5,10.5,360,180,0,30.5,1.5,2.38,-5.42420429110801
28.5,10.5,360,180,0,30.5,1.5,2.42,-5.47192846316574
28.5,10.5,360,180,0,30.5,1.5,2.44,-5.52787804365909
28.5,10.5,360,180,0,30.5,1.5,2.46,-5.60701851639614
28.5,10.5,360,180,0,30.5,1.5,2.48,-5.70997076689974
28.5,10.5,360,180,0,30.5,1.5,2.5,-5.83666019029048
28.5,10.5,360,180,0,30.5,1.5,2.52,-5.98624063080903
28.5,10.5,360,180,0,30.5,1.5,2.54,-6.15709748847699
28.5,10.5,360,180,0,30.5,1.5,2.56,-6.34696234364902
28.5,10.5,360,180,0,30.5,1.5,2.58,-6.55309433312905
28.5,10.5,360,180,0,30.5,1.5,2.62,-7.00208006080543
28.5,10.5,360,180,0,30.5,1.5,2.64,-7.23891509512171
28.5,10.5,360,180,0,30.5,1.5,2.66,-7.48029132345636
28.5,10.5,360,180,0,30.5,1.5,2.68,-7.72384321841785
28.5,10.5,360,180,0,30.5,1.5,2.72,-8.20992762241318
28.5,10.5,360,180,0,30.5,1.5,2.74,-8.4496416880533
28.5,10.5,360,180,0,30.5,1.5,2.76,-8.68583964799998
28.5,10.5,360,180,0,30.5,1.5,2.78,-8.91792199974394
28.5,10.5,360,180,0,30.5,1.5,2.82,-9.36851078827226
28.5,10.5,360,180,0,30.5,1.5,2.84,-9.58685611976906
28.5,10.5,360,180,0,30.5,1.5,2.86,-9.80068765855258
28.5,10.5,360,180,0,30.5,1.5,2.88,-10.0102176578593
28.5,10.5,360,180,0,30.5,1.5,2.92,-10.4175477880519
28.5,10.5,360,180,0,30.5,1.5,2.94,-10.6160477884621
28.5,10.5,360,180,0,30.5,1.5,2.96,-10.8116208732812
28.5,10.5,360,180,0,30.5,1.5,2.98,-11.0046790472991
